champions,traits,items,cost_total,placement
"TFT14_Sylas:2,TFT14_Jhin:1,TFT14_Braum:1,TFT14_Jarvan:2,TFT14_MissFortune:2,TFT14_Xayah:2,TFT14_Leona:2,TFT14_Aphelios:2,TFT14_Aurora:1","TFT14_AnimaSquad,TFT14_Immortal,TFT14_Marksman,TFT14_Mob,TFT14_Thirsty,TFT14_Vanguard",,60,4
"TFT14_Shaco:2,TFT14_TwistedFate:3,TFT14_Darius:2,TFT14_Rhaast:2,TFT14_Braum:3,TFT14_Draven:3,TFT14_Gragas:2,TFT14_MissFortune:2,TFT14_Aurora:1","TFT14_Bruiser,TFT14_Divinicorp,TFT14_Mob,TFT14_Swift,TFT14_Thirsty,TFT14_Vanguard",,57,2
"TFT14_Sylas:2,TFT14_Seraphine:2,TFT14_Jhin:2,TFT14_Vayne:2,TFT14_Illaoi:2,TFT14_Xayah:2,TFT14_Leona:1,TFT14_Zac:2","TFT14_AnimaSquad,TFT14_Marksman,TFT14_Vanguard,TFT14_Virus",,45,5
"TFT14_Alistar:2,TFT14_Jarvan:2,TFT14_Xayah:2,TFT14_Annie:2,TFT14_Chogath:2,TFT14_Aphelios:2,TFT14_Samira:2,TFT14_Zac:2,TFT14_Garen:2,TFT14_Viego:1,TFT14_Neeko:2","TFT14_Bruiser,TFT14_Immortal,TFT14_Marksman,TFT14_Netgod,TFT14_Supercharge,TFT14_ViegoUniqueTrait,TFT14_Virus",,107,1
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Rengar:2,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:1,TFT14_Samira:2,TFT14_Kobuko:1","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Techie",,60,6
"TFT14_Zyra:1,TFT14_DrMundo:1,TFT14_Ekko:2,TFT14_Jinx:2,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:2,TFT14_Samira:1,TFT14_Kobuko:2","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Techie",,63,3
"TFT14_KogMaw:1,TFT14_Skarner:1,TFT14_Fiddlesticks:2,TFT14_Vex:1,TFT14_Chogath:2,TFT14_Zac:2,TFT14_Garen:2,TFT14_Urgot:2,TFT14_Kobuko:1","TFT14_BallisTek,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_Netgod,TFT14_Virus",,73,8
"TFT14_Morgana:2,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Sejuani:2,TFT14_Renekton:1,TFT14_Aurora:1,TFT14_Viego:1","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Overlord,TFT14_Techie,TFT14_Thirsty,TFT14_ViegoUniqueTrait",,61,7
"TFT14_Sylas:2,TFT14_Jhin:2,TFT14_Rhaast:2,TFT14_Jinx:2,TFT14_Jarvan:2,TFT14_Xayah:2,TFT14_Leona:2,TFT14_Aphelios:2,TFT14_Zac:1","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Vanguard,TFT14_Virus",,59,4
"TFT14_Sylas:3,TFT14_Vayne:3,TFT14_Rhaast:2,TFT14_Rhaast:2,TFT14_Skarner:3,TFT14_Illaoi:2,TFT14_Jarvan:1","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Strong,TFT14_Vanguard",,30,8
"TFT14_TwistedFate:1,TFT14_Darius:1,TFT14_Jhin:2,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_MissFortune:2,TFT14_Zeri:2,TFT14_Chogath:2,TFT14_Chogath:2","TFT14_Bruiser,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Mob,TFT14_Swift,TFT14_Thirsty",,60,6
"TFT14_NidaleeCougar:2,TFT14_Ekko:2,TFT14_Naafiri:2,TFT14_Yuumi:2,TFT14_Neeko:1,TFT14_Annie:2,TFT14_Zac:1,TFT14_Zac:1","TFT14_Controller,TFT14_Supercharge,TFT14_Virus",,45,7
"TFT14_Morgana:2,TFT14_Jax:2,TFT14_Jhin:2,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Sejuani:2,TFT14_Aurora:1","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Thirsty",,53,1
"TFT14_Shaco:1,TFT14_TwistedFate:3,TFT14_Darius:3,TFT14_Rhaast:2,TFT14_Braum:3,TFT14_Draven:3,TFT14_MissFortune:1","TFT14_Divinicorp,TFT14_Mob,TFT14_Swift,TFT14_Vanguard",,40,4
"TFT14_Sylas:2,TFT14_Jhin:2,TFT14_Rhaast:2,TFT14_Jinx:2,TFT14_Jarvan:2,TFT14_Xayah:2,TFT14_Leona:2,TFT14_Aphelios:2","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Vanguard",,52,3
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Rengar:2,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:1,TFT14_Samira:1,TFT14_Kobuko:1","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Techie",,53,5
"TFT14_Morgana:2,TFT14_Jax:2,TFT14_Jhin:2,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Gragas:1,TFT14_Vex:1,TFT14_Sejuani:2,TFT14_Aurora:1","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Thirsty",,45,2
"TFT14_Jhin:2,TFT14_Rhaast:2,TFT14_Jinx:2,TFT14_Braum:2,TFT14_Jarvan:2,TFT14_Xayah:2,TFT14_Leona:2,TFT14_Aphelios:2","TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Thirsty,TFT14_Vanguard",,56,3
"TFT14_Morgana:1,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Sejuani:2,TFT14_Renekton:2,TFT14_Aurora:1,TFT14_Viego:1","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Overlord,TFT14_Techie,TFT14_Thirsty,TFT14_ViegoUniqueTrait",,67,5
"TFT14_Zyra:2,TFT14_DrMundo:1,TFT14_Ekko:2,TFT14_Rengar:2,TFT14_Neeko:2,TFT14_Brand:1,TFT14_Ziggs:2,TFT14_Chogath:2,TFT14_Samira:1","TFT14_Bruiser,TFT14_Controller,TFT14_StreetDemon,TFT14_Techie",,55,7
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:1,TFT14_Yuumi:2,TFT14_Neeko:3,TFT14_Brand:2,TFT14_Ziggs:2,TFT14_Samira:1,TFT14_Kobuko:2","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Supercharge,TFT14_Techie",,68,1
"TFT14_Morgana:2,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Vex:2,TFT14_Sejuani:2,TFT14_Renekton:2,TFT14_Kobuko:2,TFT14_Aurora:2,TFT14_Viego:2,TFT14_Kobuko:2","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Overlord,TFT14_Techie,TFT14_Thirsty,TFT14_ViegoUniqueTrait",,104,2
"TFT14_Sylas:2,TFT14_Jhin:2,TFT14_Rhaast:2,TFT14_Jinx:2,TFT14_Jarvan:2,TFT14_Xayah:1,TFT14_Leona:1,TFT14_Aphelios:2","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Vanguard",,42,8
"TFT14_Sylas:2,TFT14_Jhin:2,TFT14_Rhaast:2,TFT14_Jinx:2,TFT14_Jarvan:2,TFT14_Xayah:2,TFT14_Leona:2,TFT14_Aphelios:2","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Vanguard",,52,4
"TFT14_Shaco:2,TFT14_TwistedFate:3,TFT14_Darius:2,TFT14_Rhaast:2,TFT14_Braum:3,TFT14_Draven:3,TFT14_MissFortune:2","TFT14_Divinicorp,TFT14_Mob,TFT14_Swift,TFT14_Vanguard",,44,6
"TFT14_Morgana:2,TFT14_Jax:2,TFT14_Jhin:2,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Sejuani:3,TFT14_Renekton:2,TFT14_Urgot:2","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Overlord,TFT14_Thirsty",,79,1
"TFT14_Shaco:2,TFT14_TwistedFate:3,TFT14_Darius:3,TFT14_Rhaast:2,TFT14_Braum:3,TFT14_Draven:2,TFT14_Gragas:2,TFT14_MissFortune:2","TFT14_Bruiser,TFT14_Divinicorp,TFT14_Mob,TFT14_Swift,TFT14_Vanguard",,49,2
"TFT14_Zyra:1,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Neeko:2,TFT14_Brand:1,TFT14_Brand:1,TFT14_Ziggs:1,TFT14_Samira:1,TFT14_Kobuko:1","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Techie",,46,6
"TFT14_Alistar:2,TFT14_Jarvan:2,TFT14_Xayah:1,TFT14_Annie:2,TFT14_Aphelios:2,TFT14_Zac:2,TFT14_Garen:2,TFT14_Kobuko:2,TFT14_Viego:2,TFT14_Rengar:2","TFT14_Bruiser,TFT14_Immortal,TFT14_Marksman,TFT14_Netgod,TFT14_ViegoUniqueTrait,TFT14_Virus",,95,4
"TFT14_Skarner:2,TFT14_Mordekaiser:2,TFT14_Fiddlesticks:2,TFT14_Gragas:1,TFT14_Vex:1,TFT14_Chogath:1,TFT14_Garen:1,TFT14_Urgot:2,TFT14_Kobuko:1","TFT14_BallisTek,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_Netgod,TFT14_Techie",,57,8
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Rengar:2,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:2,TFT14_Samira:2,TFT14_Kobuko:1","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Techie",,65,5
"TFT14_Sylas:2,TFT14_TwistedFate:1,TFT14_Jhin:2,TFT14_Braum:2,TFT14_Jarvan:2,TFT14_MissFortune:2,TFT14_Xayah:2,TFT14_Leona:2,TFT14_Aphelios:2","TFT14_AnimaSquad,TFT14_Immortal,TFT14_Marksman,TFT14_Mob,TFT14_Thirsty,TFT14_Vanguard",,60,3
"TFT14_Morgana:1,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Chogath:2,TFT14_Zac:2,TFT14_Renekton:1,TFT14_Urgot:2,TFT14_Kobuko:2","TFT14_BallisTek,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_Overlord,TFT14_Virus",,82,7
"TFT14_Jax:2,TFT14_Darius:1,TFT14_Jhin:2,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Vex:2,TFT14_Sejuani:2,TFT14_Zac:2","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Thirsty,TFT14_Virus",,54,8
"TFT14_Shaco:2,TFT14_TwistedFate:3,TFT14_Darius:2,TFT14_Rhaast:2,TFT14_Braum:3,TFT14_Draven:3,TFT14_Gragas:2,TFT14_MissFortune:2,TFT14_Renekton:1","TFT14_Bruiser,TFT14_Divinicorp,TFT14_Mob,TFT14_Overlord,TFT14_Swift,TFT14_Vanguard",,57,2
"TFT14_NidaleeCougar:2,TFT14_Jax:2,TFT14_Ekko:3,TFT14_Naafiri:3,TFT14_Yuumi:2,TFT14_Sejuani:2,TFT14_Annie:2,TFT14_Samira:1","TFT14_Armorclad,TFT14_Controller,TFT14_EdgeRunner,TFT14_Supercharge",,49,5
"TFT14_Shaco:2,TFT14_Morgana:1,TFT14_TwistedFate:2,TFT14_Darius:2,TFT14_Rhaast:2,TFT14_Braum:2,TFT14_Draven:2,TFT14_Gragas:2,TFT14_MissFortune:2","TFT14_Bruiser,TFT14_Divinicorp,TFT14_Mob,TFT14_Swift,TFT14_Thirsty,TFT14_Vanguard",,43,7
"TFT14_Sylas:2,TFT14_Vayne:3,TFT14_Rhaast:2,TFT14_Senna:2,TFT14_Jarvan:3,TFT14_Gragas:1,TFT14_Zed:2,TFT14_Leona:1,TFT14_Garen:1","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Netgod,TFT14_Strong,TFT14_Vanguard",,52,4
"TFT14_Zyra:2,TFT14_DrMundo:1,TFT14_Ekko:2,TFT14_Jinx:2,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:2,TFT14_Samira:1,TFT14_Garen:1,TFT14_Kobuko:1","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_Netgod,TFT14_StreetDemon,TFT14_Techie",,64,1
"TFT14_Sylas:2,TFT14_Jhin:2,TFT14_Rhaast:2,TFT14_Jinx:1,TFT14_Jarvan:2,TFT14_Xayah:2,TFT14_Leona:2,TFT14_Aphelios:2,TFT14_Zac:2","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Vanguard,TFT14_Virus",,63,3
"TFT14_Sylas:2,TFT14_Jhin:2,TFT14_Rhaast:2,TFT14_Jinx:1,TFT14_Jarvan:1,TFT14_Xayah:2,TFT14_Leona:1,TFT14_Aphelios:2","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Vanguard",,41,6
"TFT14_TwistedFate:3,TFT14_LeBlanc:1,TFT14_Darius:2,TFT14_Rhaast:2,TFT14_Braum:3,TFT14_Draven:3,TFT14_Gragas:2,TFT14_MissFortune:2","TFT14_Bruiser,TFT14_Divinicorp,TFT14_Mob,TFT14_Swift,TFT14_Vanguard",,50,5
"TFT14_DrMundo:3,TFT14_Shaco:3,TFT14_Darius:1,TFT14_Braum:2,TFT14_Senna:3,TFT14_Jarvan:2,TFT14_Vex:2,TFT14_Zed:2","TFT14_Bruiser,TFT14_Divinicorp,TFT14_Mob,TFT14_Strong,TFT14_Vanguard",,49,6
"TFT14_Alistar:2,TFT14_Mordekaiser:2,TFT14_Jarvan:2,TFT14_Xayah:2,TFT14_Annie:2,TFT14_Aphelios:2,TFT14_Zac:2,TFT14_Garen:2,TFT14_Viego:2,TFT14_MissFortune:2","TFT14_Bruiser,TFT14_Immortal,TFT14_Marksman,TFT14_Netgod,TFT14_Techie,TFT14_Vanguard,TFT14_ViegoUniqueTrait,TFT14_Virus",,96,4
"TFT14_Zyra:2,TFT14_DrMundo:1,TFT14_Ekko:2,TFT14_Jinx:2,TFT14_Rengar:2,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:2,TFT14_Samira:2,TFT14_Kobuko:2","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Techie",,77,1
"TFT14_Jax:2,TFT14_Sylas:2,TFT14_Seraphine:2,TFT14_Jhin:1,TFT14_Vayne:2,TFT14_Illaoi:2,TFT14_Xayah:2,TFT14_Leona:1","TFT14_AnimaSquad,TFT14_Armorclad,TFT14_EdgeRunner,TFT14_Marksman,TFT14_Techie,TFT14_Vanguard",,31,8
"TFT14_KogMaw:2,TFT14_Skarner:2,TFT14_Jarvan:1,TFT14_Fiddlesticks:2,TFT14_Chogath:2,TFT14_Garen:1,TFT14_Urgot:2,TFT14_Kobuko:2,TFT14_Aurora:1,TFT14_Viego:2","TFT14_BallisTek,TFT14_Bruiser,TFT14_Cutter,TFT14_Immortal,TFT14_Netgod,TFT14_Techie,TFT14_Thirsty,TFT14_Vanguard,TFT14_ViegoUniqueTrait",,81,2
"TFT14_Kindred:2,TFT14_Shyvana:2,TFT14_Jhin:3,TFT14_Elise:2,TFT14_Mordekaiser:2,TFT14_Sejuani:2,TFT14_Zeri:1,TFT14_Zac:2,TFT14_Aurora:2,TFT14_SummonLevel2:3","TFT14_Armorclad,TFT14_Bruiser,TFT14_EdgeRunner,TFT14_HotRod,TFT14_Marksman,TFT14_Swift,TFT14_Techie,TFT14_Thirsty,TFT14_Virus",,73,3
"TFT14_Vi:3,TFT14_Ekko:2,TFT14_LeBlanc:3,TFT14_Rhaast:2,TFT14_Galio:2,TFT14_Neeko:1,TFT14_Ziggs:2,TFT14_Samira:1","TFT14_Armorclad,TFT14_Controller,TFT14_Divinicorp,TFT14_StreetDemon,TFT14_Suits,TFT14_Vanguard",,45,7
"TFT14_TwistedFate:3,TFT14_Darius:2,TFT14_Rhaast:2,TFT14_Braum:3,TFT14_Draven:3,TFT14_Gragas:2,TFT14_MissFortune:2,TFT14_Zac:1","TFT14_Bruiser,TFT14_Divinicorp,TFT14_Mob,TFT14_Swift,TFT14_Vanguard,TFT14_Virus",,55,3
"TFT14_Zyra:1,TFT14_DrMundo:1,TFT14_Ekko:1,TFT14_Jinx:1,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:2,TFT14_Samira:2,TFT14_Kobuko:2","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Techie",,65,6
"TFT14_Morgana:2,TFT14_Jax:2,TFT14_Jhin:2,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Sejuani:2,TFT14_Aurora:1","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Thirsty",,53,4
"TFT14_Zyra:3,TFT14_DrMundo:3,TFT14_Alistar:3,TFT14_Seraphine:3,TFT14_Shyvana:1,TFT14_Mordekaiser:2,TFT14_Fiddlesticks:2,TFT14_Kobuko:1","TFT14_Bruiser,TFT14_Techie",,33,7
"TFT14_Jhin:2,TFT14_Rhaast:2,TFT14_Skarner:3,TFT14_Jinx:2,TFT14_Jarvan:2,TFT14_Xayah:2,TFT14_Leona:2,TFT14_Aphelios:2,TFT14_Aurora:1","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Thirsty,TFT14_Vanguard",,63,1
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Jinx:2,TFT14_Yuumi:1,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Samira:1,TFT14_Kobuko:1","TFT14_Bruiser,TFT14_Controller,TFT14_StreetDemon,TFT14_Supercharge,TFT14_Techie",,51,5
"TFT14_Sylas:2,TFT14_Jhin:1,TFT14_Rhaast:2,TFT14_Jinx:2,TFT14_Jarvan:2,TFT14_Xayah:1,TFT14_Leona:1,TFT14_Aphelios:2","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Vanguard",,40,8
"TFT14_Sylas:3,TFT14_Vayne:3,TFT14_Rhaast:3,TFT14_Senna:3,TFT14_Jarvan:3,TFT14_Gragas:1,TFT14_Vex:2,TFT14_Zed:2,TFT14_Leona:2","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Strong,TFT14_Vanguard",,66,2
"TFT14_Shaco:2,TFT14_TwistedFate:3,TFT14_Darius:3,TFT14_Rhaast:2,TFT14_Braum:3,TFT14_Draven:2,TFT14_Gragas:3,TFT14_MissFortune:2,TFT14_Aurora:2","TFT14_Bruiser,TFT14_Divinicorp,TFT14_Mob,TFT14_Swift,TFT14_Thirsty,TFT14_Vanguard",,66,1
"TFT14_Jax:1,TFT14_Draven:2,TFT14_Senna:2,TFT14_Galio:2,TFT14_Zed:2,TFT14_Sejuani:2,TFT14_Zeri:2,TFT14_Renekton:1","TFT14_Armorclad,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Overlord,TFT14_Strong,TFT14_Suits,TFT14_Swift",,56,3
"TFT14_Morgana:2,TFT14_Jax:2,TFT14_Jhin:2,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Sejuani:1","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Thirsty",,41,6
"TFT14_TwistedFate:3,TFT14_Darius:2,TFT14_Rhaast:2,TFT14_Braum:2,TFT14_Draven:3,TFT14_Gragas:2,TFT14_MissFortune:1","TFT14_Bruiser,TFT14_Divinicorp,TFT14_Mob,TFT14_Swift,TFT14_Vanguard",,40,4
"TFT14_Jax:3,TFT14_Poppy:2,TFT14_Veigar:3,TFT14_Shyvana:2,TFT14_Mordekaiser:2,TFT14_Sejuani:2,TFT14_Ziggs:2,TFT14_Kobuko:1","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cyberboss,TFT14_EdgeRunner,TFT14_Techie",,48,5
"TFT14_Sylas:2,TFT14_Jhin:2,TFT14_Vayne:2,TFT14_Illaoi:2,TFT14_Yuumi:2,TFT14_Xayah:2,TFT14_Leona:2,TFT14_Zac:1,TFT14_Aurora:1","TFT14_AnimaSquad,TFT14_Marksman,TFT14_Thirsty,TFT14_Vanguard,TFT14_Virus",,54,7
"TFT14_KogMaw:2,TFT14_Darius:1,TFT14_Skarner:2,TFT14_Braum:2,TFT14_Fiddlesticks:2,TFT14_MissFortune:2,TFT14_Chogath:2,TFT14_Urgot:1","TFT14_BallisTek,TFT14_Bruiser,TFT14_Mob,TFT14_Vanguard",,47,8
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Rengar:2,TFT14_Mordekaiser:2,TFT14_Yuumi:1,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Samira:2,TFT14_Viego:2","TFT14_Bruiser,TFT14_Controller,TFT14_StreetDemon,TFT14_Supercharge,TFT14_Techie,TFT14_ViegoUniqueTrait",,71,2
